               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.042436,            0.034585,            0.010914,             0.59392,             0.53364,             0.52377,             0.25321,            0.048305,            0.039518,            0.019314,           0.0084017,           0.0084017,           0.0084017
                  61,            0.042282,             0.03408,            0.010187,              0.4402,             0.37161,             0.39495,             0.18025,             0.05279,            0.044809,            0.023295,           0.0083511,           0.0083511,           0.0083511
                  62,            0.039443,            0.033479,           0.0095229,             0.49463,             0.46191,             0.44439,             0.20879,            0.051427,            0.039686,            0.023904,              0.0083,              0.0083,              0.0083
                  63,            0.041247,            0.034724,            0.009942,             0.45814,             0.49017,             0.45246,             0.23882,            0.046089,              0.0405,            0.022442,           0.0082483,           0.0082483,           0.0082483
                  64,             0.03971,            0.033642,            0.010144,              0.4955,             0.50146,             0.47199,              0.2347,            0.047183,            0.041667,            0.020527,           0.0081961,           0.0081961,           0.0081961
                  65,            0.039048,            0.034637,           0.0094049,             0.60205,             0.54601,             0.52851,             0.25399,            0.045433,            0.040506,            0.019173,           0.0081433,           0.0081433,           0.0081433
                  66,            0.039346,            0.032786,           0.0095209,             0.47401,             0.53218,             0.48899,              0.2752,            0.048617,            0.038851,            0.020473,             0.00809,             0.00809,             0.00809
                  67,            0.037584,            0.033827,           0.0089249,             0.49226,             0.53611,             0.48115,             0.26011,             0.04783,              0.0399,            0.020173,           0.0080362,           0.0080362,           0.0080362
                  68,             0.03838,              0.0342,           0.0086764,             0.48458,             0.46513,              0.4653,              0.2466,            0.049785,            0.040126,            0.022018,           0.0079818,           0.0079818,           0.0079818
                  69,            0.039554,            0.033778,           0.0098236,             0.39828,             0.46228,             0.41055,             0.20805,            0.050044,            0.043486,            0.023994,            0.007927,            0.007927,            0.007927
                  70,            0.039316,            0.032838,           0.0096735,             0.47284,             0.51641,             0.45007,             0.24881,            0.048231,            0.039737,            0.021429,           0.0078717,           0.0078717,           0.0078717
                  71,            0.038549,            0.034691,           0.0092549,             0.45993,             0.56293,             0.46634,             0.26425,             0.04733,            0.039658,            0.021613,            0.007816,            0.007816,            0.007816
                  72,            0.038783,             0.03293,           0.0093116,             0.54548,             0.52703,              0.4881,             0.26814,            0.048367,            0.039274,            0.019669,           0.0077598,           0.0077598,           0.0077598
                  73,            0.037273,             0.03362,           0.0082684,             0.48341,             0.54052,             0.48692,             0.26846,            0.046806,            0.040568,            0.018535,           0.0077031,           0.0077031,           0.0077031
                  74,            0.037135,            0.033628,           0.0081056,             0.38759,             0.45608,             0.39467,             0.21749,            0.051783,            0.042288,            0.023348,           0.0076461,           0.0076461,           0.0076461
                  75,            0.036141,            0.033216,           0.0080858,             0.42844,             0.55283,             0.46433,              0.2548,            0.046806,            0.041554,            0.022069,           0.0075886,           0.0075886,           0.0075886
                  76,             0.03744,             0.03126,           0.0084711,             0.48463,             0.47695,             0.46835,             0.25656,            0.047486,            0.041143,            0.021746,           0.0075307,           0.0075307,           0.0075307
                  77,            0.038144,            0.032709,           0.0086925,              0.5707,             0.44562,             0.46082,             0.23975,            0.047959,            0.039992,            0.022174,           0.0074725,           0.0074725,           0.0074725
                  78,            0.037385,            0.032331,           0.0080035,             0.47197,              0.5471,             0.45566,             0.24721,             0.04729,            0.041172,             0.02119,           0.0074139,           0.0074139,           0.0074139
                  79,            0.036438,            0.032306,           0.0077546,             0.48267,             0.55346,             0.46145,             0.23276,            0.048388,            0.040494,            0.021694,            0.007355,            0.007355,            0.007355
                  80,            0.036352,            0.030814,           0.0085089,             0.49477,             0.51961,             0.47887,             0.26513,            0.047746,            0.040533,            0.021997,           0.0072957,           0.0072957,           0.0072957
                  81,             0.03729,            0.030457,            0.007808,             0.49788,             0.48435,             0.45941,             0.20763,             0.04897,            0.041048,            0.022818,           0.0072361,           0.0072361,           0.0072361
                  82,            0.036045,            0.031699,           0.0082347,             0.57476,             0.47597,             0.48333,              0.2671,            0.047578,            0.041054,            0.019704,           0.0071762,           0.0071762,           0.0071762
                  83,            0.035108,            0.030375,           0.0071591,             0.49964,             0.46042,             0.46033,             0.21731,            0.048478,            0.042188,            0.022312,            0.007116,            0.007116,            0.007116
                  84,            0.034382,            0.031887,           0.0068446,             0.56445,             0.43096,             0.44434,             0.25534,            0.048238,            0.042796,            0.023359,           0.0070555,           0.0070555,           0.0070555
                  85,            0.034494,            0.031773,           0.0068227,             0.67849,             0.48823,             0.51582,             0.26631,            0.045921,            0.040026,            0.022577,           0.0069948,           0.0069948,           0.0069948
                  86,            0.035162,            0.030094,           0.0071365,             0.52863,             0.53095,             0.46856,             0.24367,            0.046246,            0.040712,             0.02336,           0.0069338,           0.0069338,           0.0069338
                  87,            0.035132,            0.032069,           0.0082367,             0.38297,             0.55099,             0.45449,             0.24904,            0.046224,            0.041585,            0.024745,           0.0068726,           0.0068726,           0.0068726
                  88,            0.034801,            0.031151,           0.0069188,             0.43214,             0.52654,             0.46883,             0.23944,            0.047569,            0.041332,            0.022993,           0.0068111,           0.0068111,           0.0068111
                  89,             0.03533,            0.029249,             0.00653,             0.62541,             0.49765,             0.49974,             0.24824,            0.045672,            0.040549,            0.021064,           0.0067495,           0.0067495,           0.0067495
                  90,            0.035236,            0.030588,           0.0066995,             0.50119,             0.50389,             0.44069,             0.22924,            0.048173,            0.041922,            0.022978,           0.0066877,           0.0066877,           0.0066877
                  91,             0.03459,            0.030685,           0.0074591,             0.46369,             0.40238,             0.41754,              0.2198,            0.048882,            0.042801,             0.02426,           0.0066257,           0.0066257,           0.0066257
                  92,            0.033858,            0.029935,            0.007014,             0.62907,             0.47382,              0.5011,             0.23603,            0.046153,            0.042096,            0.021865,           0.0065636,           0.0065636,           0.0065636
                  93,            0.034275,            0.031209,           0.0068705,             0.48762,             0.53341,             0.47071,             0.23408,            0.047665,            0.043518,            0.023527,           0.0065013,           0.0065013,           0.0065013
                  94,            0.033866,            0.029834,           0.0065027,             0.43638,             0.46048,             0.36383,             0.17788,            0.048341,             0.04393,            0.024188,           0.0064389,           0.0064389,           0.0064389
                  95,            0.034092,            0.030756,           0.0066941,             0.54282,             0.48065,             0.48337,             0.25621,            0.045748,            0.041812,             0.02234,           0.0063764,           0.0063764,           0.0063764
                  96,            0.033806,            0.031124,           0.0063055,             0.51827,             0.52675,              0.5012,             0.28856,            0.046102,            0.042439,            0.022126,           0.0063138,           0.0063138,           0.0063138
                  97,            0.035233,            0.030694,           0.0065048,             0.61181,             0.47046,             0.49844,             0.26473,            0.046732,            0.041843,            0.021835,           0.0062512,           0.0062512,           0.0062512
                  98,            0.032266,            0.029118,           0.0058634,             0.48427,             0.57422,              0.5044,             0.26791,            0.046134,            0.041245,            0.021729,           0.0061884,           0.0061884,           0.0061884
                  99,            0.031944,            0.028289,           0.0061959,             0.50415,             0.54146,             0.47775,             0.25872,            0.046506,            0.041714,            0.021005,           0.0061256,           0.0061256,           0.0061256
                 100,            0.032916,            0.030154,           0.0064002,             0.53275,             0.48398,             0.46463,             0.24421,            0.045626,            0.042399,            0.020964,           0.0060628,           0.0060628,           0.0060628
                 101,            0.033016,            0.029658,           0.0062045,             0.52355,             0.54621,             0.49689,             0.26123,            0.046195,            0.041506,            0.020358,               0.006,               0.006,               0.006
                 102,            0.032502,             0.02974,           0.0064213,             0.50439,             0.48287,             0.46055,             0.25673,            0.045202,            0.041859,             0.02145,           0.0059372,           0.0059372,           0.0059372
                 103,            0.032464,            0.031164,           0.0068273,             0.46434,             0.54847,              0.4759,             0.27048,            0.045357,            0.041463,            0.021262,           0.0058744,           0.0058744,           0.0058744
                 104,            0.031962,            0.029111,           0.0060477,             0.55861,             0.54616,             0.51199,             0.28862,            0.044724,            0.041087,            0.021506,           0.0058116,           0.0058116,           0.0058116
                 105,            0.030523,             0.02766,           0.0057533,             0.59562,             0.48847,             0.47863,             0.24686,            0.045606,             0.04147,            0.022128,           0.0057488,           0.0057488,           0.0057488
